volume|issue|url|title|abstract||||
46|11|http://www.sciencedirect.com/science/journal/13837621/46/11|Chained backplane communication architecture for scalable multiprocessor systems|A scalable backplane topology which allows a practically unlimited number of modules with identical interfaces is presented. Short, buffered, point-to-point connections overcome clock skew problems. Synchronized, pipelined data transfer operations ensure high throughput and reasonably low latency times for fine-grain parallel algorithms. A simple bus interface logic without any special hardware configuration guarantees a cheap implementation with standard FPGAs. The measured performance in our FPGA based prototype with 32 bit wide data bus shows a throughput of 160 Mbytes/s for each module with 75 ns latency time between modules.||||
46|11||Distributed vector architectures|Integrating processors and main memory is a promising approach to increase system performance. Such integration provides very high memory bandwidth that can be exploited efficiently by vector operations. However, traditional vector applications would easily overflow the limited memory of a single integrated node. To accommodate such workloads, we propose the Distributed Vector Architecture (DIVA), that uses multiple vector-capable processor/memory nodes in a distributed shared-memory configuration, while maintaining the simple vector programming model. The advantages of our approach are twofold: (i) we dynamically parallelize the execution of vector instructions across the nodes, (ii) we reduce external traffic, by mapping vector computation – rather than data – across the nodes. We propose run-time mechanisms to assign elements of the architectural vector registers on nodes, using the data layout across the nodes as a blueprint. We describe DIVA implementations with a traditional request-response memory model and a data-push model. Using traces of vector supercomputer programs, we demonstrate that DIVA generates considerably less external traffic compared to single or multiple-node alternatives that are based solely on caching or paging. With timing simulations we show that a DIVA system with 2–8 nodes is up to three times faster than a single node using its local memory as a large cache and can even outperform a hypothetical system where the application fits in local memory.||||
46|11||Fixed priority scheduling of tasks with arbitrary precedence constraints in distributed hard real-time systems|This paper considers the schedulability analysis of real-time distributed applications where tasks may present arbitrary precedence relations. It is assumed that tasks are periodic or sporadic and dynamically released. They have fixed priorities and hard end-to-end deadlines that are equal to or less than the respective period. We develop a method to transform arbitrary precedence relations into release jitter. By eliminating all precedence relations in the task set one can apply any available schedulability test that is valid for independent task sets.||||
46|11||An output queueing analysis of multipath ATM switches|The performance of output buffers in multipath ATM switches is closely related to the output traffic distribution, which characterizes the packet arrival rate at each output link connected to the output buffer of a given output port. Many multipath switches produce nonuniform output traffic distributions even if the input traffic patterns are uniform. Focusing on the nonuniform output traffic distribution, we analyze the output buffer performances of several multipath switches under both uniform and nonuniform input traffic patterns. It is shown that the output traffic distributions are different for the various multipath switches and the output buffer performance measured in terms of packet loss probability and mean waiting time improves as the nonuniformity of the output traffic distribution becomes higher.||||
46|11||Performance evaluation of system architectures with validated input data|In this paper we have extended our methodology, presented earlier in [1], for generating and validating representative traces. Our novel technique was applied to a relatively realistic and difficult multimedia benchmark suite called MediaMark. We have also introduced a new metric called the K-metric (Khalid – metric) that was used for validation. The aim of our present research was to demonstrate that the proposed methodology can be successful even for complex and challenging benchmarks like multimedia benchmarks. Earlier, our methodology was shown to be the most successful one as compared to the popular contemporary techniques for tracing relatively simple and primitive suite of applications contained within SPEC95 benchmark suite  [1]. Experimental results in this article demonstrate that our methodology works even in the worst case scenarios.||||
46|11||An efficient implementation of tree-based multicast routing for distributed shared-memory multiprocessors|This paper presents an efficient routing and flow control mechanism to implement multidestination message passing in wormhole networks. The mechanism is a variation of tree-based multicast with pruning to recover from deadlocks and it is well suited for distributed shared-memory multiprocessors (DSMs) with hardware cache coherence. It does not require any preprocessing of multicast messages reducing notably the software overhead required to send a multicast message. Also, it allows messages to use any deadlock-free routing function. The new scheme has been evaluated by simulation using synthetic loads. It achieves multicast latency reductions of 30% on average. Also it was compared with other multicast mechanisms proving its benefits. Finally, it can be easily implemented in hardware with minimal changes to existing unicast wormhole routers.||||
46|11||Performance of simultaneous multithreaded multimedia-enhanced processors for MPEG-2 video decompression|This paper explores microarchitecture models for a simultaneous multithreaded (SMT) processor with multimedia enhancements. We start with a wide-issue superscalar processor, enhance it by the SMT technique, by multimedia units, and by an additional on-chip RAM storage. Our workload is a multithreaded MPEG-2 video decompression algorithm that extensively uses multimedia units. The simulations show that a single-threaded, 8-issue maximum processor (assuming an abundance of resources) reaches an instructions per cycle (IPC) count of only 1.60, while an 8-threaded 8-issue processor is able to reach an IPC of 6.07. A more realistic processor model reaches an IPC of 1.27 in the single-threaded 8-issue vs 3.03 in the 4-threaded 4-issue and 3.21 in the 8-threaded 8-issue modes. Our conclusion on next generation’s microprocessors is that a 2- or 4-threaded 4-issue processor with a small on-chip RAM accessed by a local load/store unit will be superior to a wide-issue (single-threaded) superscalar processor at least for MPEG-2 style video decompression algorithms.||||
46|11||Efficient module selections for finding highly acceptable designs based on inclusion scheduling|In high level synthesis, module selection, scheduling, and resource binding are inter-dependent tasks. For a selected module set, the best schedule/binding should be generated in order to accurately assess the quality of a module selection. Exhaustively enumerating all module selections and constructing a schedule and binding for each one of them can be extremely expensive. In this paper, we present an iterative framework, called WiZard to solve module selection problem under resource, latency, and power constraints. The framework associates a utility measure with each module. This measurement reflects the usefulness of the module for a given a design goal. Using modules with high utility values should result in superior designs. We propose a heuristic which iteratively perturbs module utility values until they lead to good module selections. Our experiments show that by keeping modules with high utility values, WiZard can drastically reduce the module exploration space (approximately 99.2% reduction). Furthermore, the module selections formed by these modules belong to superior solutions in the enumerated set (top 15%).||||
46|12|http://www.sciencedirect.com/science/journal/13837621/46/12|YOMNA â An efficient deadlock-free multicast wormhole algorithm in 2-D mesh multicomputers|A mesh network is a popular architecture which has been implemented in many multicomputer systems. It is preferred because it offers useful edge connectivity and is partitioned into units that are still meshes. It is also scalable and has a number of features that make it particularly amenable to high-performance computing. The 2-D mesh topology has become increasingly important to multicomputer design because of its many desirable properties including scalability, low bandwidth and fixed degree of nodes.||||
46|12||Stride prefetching for the secondary data cache|A prefetch method that enables stride prefetching at the secondary cache without accessing the processor's internal resources is developed and evaluated. It uses a data-range-table that enables it to detect usable strides and memory access streams which fall into the same data range. By using program driven simulation of scientific applications in the context of shared-memory multiprocessors, it is shown that the proposed method can reduce load stall times by an amount comparable to a conventional stride driven prefetching method which requires access to the processor's instruction address register.||||
46|12||On the relative performance merits of hypercube and hypermesh networks|||||
46|12||Design of a large-scale Gbit/s MAN using a cyclic reservation-based MAC protocol|In this paper, a large-scale Gbit/s metropolitan area network (MAN) based on hierarchical ring topologies has been investigated. The network is constituted by backbone and local rings, which are connected by bridges. In the network, traffic congestion may occur in bridges due to the mismatch of transmission speed between backbone and local rings. To cope with the issue, a scheme based on a cyclic reservation-based access method is proposed for the medium access control (MAC) protocol of the network. With the scheme, the protocol can both achieve the fair access of network bandwidth and resolve the traffic congestion in bridges. Particularly, this approach reduces the implementation complexity and cost and enhances efficiency of the global network. Finally, several simulative experiments are performed, and some optimistic results are revealed.||||
46|12||Symbolic forward/backward traversals of large finite state machines|Symbolic traversals are state-of-the-art techniques for proving the input/output equivalence of finite state machines. Due to state space explosion, they are currently limited to medium-small circuits. Starting from the limits of standard techniques, this paper presents a mix of approximate forward and exact backward traversals that results in an exact exploration of the state space of large machines. This is possible, thanks to efficient pruning that restricts the search space during backward traversal using the information coming from the approximate forward traversal step. Experimental results confirm that we are able to explore for the first time some of the larger ISCAS'89 and MCNC circuits, that have been until now outside the scope of exact symbolic techniques. We are also able to generate the test patterns for or to tag as undetectable stuck-at faults with few exceptions.||||
46|13|http://www.sciencedirect.com/science/journal/13837621/46/13|Rapid prototyping of an ATM programmable associative operator|In this paper, we describe a semi-automatic method for designing a programmable architecture related to high speed communication protocols. A case study of associative based architecture of high speed communication system is presented with a validation environment. The environment provides an interesting estimation using XILINX prototyping board including memories (content addressable memory, CAM, RAM, DPRAM). In our approach, we try to perform a rapid prototyping of such architecture and allow the designer to interact easily in order to customize the architecture according to application requirements. This method of validation provides important benefits in hardware prototyping: better validation environment and reduced time to give a real estimation for a large variety of applications.||||
46|13||Role-based access control in DCOM|The explosive growth of the Web, the increasing popularity of PCs and the advances in high-speed network access have brought distributed computing into the mainstream. To simplify network programming and to realize component-based software architecture, distributed object models have emerged as standards. One of those models is distributed component object model (DCOM) which is a protocol that enables software components to communicate directly over a network in a reliable, and efficient manner. In this paper, we investigate an aspect of DCOM concerning software architecture and security mechanism. Also, we describe the concept of role-based access control (RBAC) which began with multi-user and multi-application on-line systems pioneered in the 1970s. And we investigate how we can enforce the role-based access control as a security provider within DCOM, specially in access security policy.||||
46|13||Efficient approaches for constructing a massively parallel processing system|How to construct a massively parallel processing system has drawn a lot of attention. An important feature affecting the performance and characteristics of the architecture with an interconnection of multiple processors is its configuration design and scalability of the system. Good performance of a parallel application is often the result of an appropriate match between the processes of the parallel application and the configuration of multiple processor system. In order to accommodate different parallel applications, it is highly desirable that the configuration of the architecture and the number of processors can be modified easily and extended flexibly. Two efficient technical approaches for constructing a massively parallel processing system with scalability are proposed. One is based on multilayered motherboards and the other on crossbar switches. The technique and the two approaches have been adapted in a real-life application which is a parallel implementation of backpropagation neural computation. Performance evaluation for the two approaches is included.||||
46|13||A scheduling policy for preserving cache locality in a multiprogrammed system|In a multiprogrammed system, when the operating system switches contexts, in addition to the cost for handling the processes being swapped out and in, the cache performance of processors also can be affected. If frequent context switching replaces the data loaded into cache memory before they are completely reused, the programs suffer from cache misses due to the damage in cache locality. In particular, for the programs with good cache locality, such as blocked programs, a scheduling mechanism of keeping cache locality against context switching is essential to achieve good processor utilization. To solve this requirement, we propose a preemption-safe policy to exploit the cache locality of blocked programs in a multiprogrammed system. The proposed policy delays context switching until a block is fully reused, but also compensates for the monopolized processor time on processor scheduling mechanisms. Our simulation results show that in a situation where blocked programs are run on multiprogrammed shared-memory multiprocessors, the proposed policy improves the performance of these programs due to a decrease in cache misses. In such situations, it also has a beneficial impact on the overall system performance due to the enhanced processor utilization.||||
46|13||Analytical modeling of multithreaded architectures|Multithreading is used for hiding long memory latency in uniprocessors and multiprocessor computer systems and aims at increasing system efficiency. In such an architecture, a number of threads are allocated to each processing element (PE) and whenever a running thread becomes suspended the PE switches to another ready thread.||||
46|13||Quantitative evaluation of pipelining and decoupling a dynamic instruction scheduling mechanism|||||
46|13||Optimal bandwidth allocation and stability of high-speed networks for CSMA/CD protocols|In this paper, we examine a non-persistent CSMA/CD protocol for high-speed communication systems, where the bandwidth is divided into two separate asymmetric channels. Free stations access the first channel while all retransmissions occur in the second channel. We define the stability regions and the rules for optimal bandwidth allocation among the two channels for optimization of the system performance in case of infinite population. Numerical results show that the optimal behaviour gives performance improvement as compared with the single-channel system with the same capacity.||||
46|13||On the derivation of a correct deadlock free communication kernel for loop connected message passing architecture from its user's specification|Method for the derivation of a correct deadlock free communication kernel for loop connected message passing architecture from its user's specification is described. Dijkstra's weakest pre-condition approach is used as the specification language.||||
46|14|http://www.sciencedirect.com/science/journal/13837621/46/14|Profiling in the ASP codesign environment|Automation of the hardware/software codesign (HSC) methodology brings with it the need to develop sophisticated high-level profiling tools. This paper presents a profiling tool which uses execution profiling on standard C code to obtain accurate and consistent times at the level of individual compound code sections. This tool is used in the ASP hardware/software codesign project. The results from this tool show that profiling must be performed on dedicated hardware which is as close as possible to the final implementation, as opposed to a workstation. Further, in this paper a formula is derived for the number of times a program has to be profiled in order to get an accurate estimate of the number of times a loop with an indeterminate loop count is executed.||||
46|14||Architecture for fractal image compression|||||
46|14||A section cache system designed for VLIW architectures|The static specification of operations executed in parallel using No Operations (NOPs) is another culprit to make code size to be increased in VLIW architecture. Some alternatives in the instruction encoding and memory subsystem are proposed to minimize the impact of NOP on the code size. One is the compressed cache using the packed encoding scheme and the other is the decompressed cache using the unpacked encoding scheme. The compressed cache shows high memory utilization but increases the pipeline branch penalty because it requires very complex fetch hardware. On the contrary, the fetch overhead can be decreased in the decompressed cache because the unpacked encoding scheme allows an instruction to be issued to the pipeline without any recovery process. However, it has a shortcoming that the memory utilization is deteriorated due to the memory allocation irrespective of the number of useful operations. In this research, a new instruction encoding scheme called a semi-packed encoding scheme and the section cache, which enables effective store and retrieval of semi-packed instructions, are proposed. This can decrease the hardware complexity to fetch an instruction and the wasted memory space due to NOPs via the partially fixed length of an instruction. The experimental results reveal that the memory utilization in the section cache is 3.4 times higher than in the decompressed cache. The memory subsystem using the section cache can provide about 15% performance improvement with the moderate size of chip area.||||
46|14||Synthesising an asynchronous DMA controller with Balsa|A DMA controller has been designed and implemented as part of the AMULET3i asynchronous microprocessor macrocell using a mixture of synchronous and asynchronous circuit techniques. The synthesis language Balsa has been used to implement the major part of the controller, the asynchronous control. The use of Balsa has allowed the controller to be rapidly re-engineered in response to a changing specification.||||
46|14||ACTion: Combining logic synthesis and technology mapping for MUX-based FPGAs|||||
46|14||A novel approach for implementing high-speed and long-distance networking protocols in a limited memory embedded kernel|STREAMS kernel mechanisms are being used to implement networking protocols in limited memory embedded systems. The current approaches for STREAMS-based networking protocols implementation suffer from some shortcomings when these approaches are used to implement high-speed and long distance WAN protocols that require large transport windows. Accumulation of duplicate copies of large transport layer windows in the subnet layer cause unnecessary hogging of kernel memory resources. This memory hogging leads to performance degradation since shortage of buffers forces the protocols to operate at smaller window sizes. The reason for this overhead is that the protocols cannot be implemented efficiently due to strict layering scheme of STREAMS. We have devised new kernel mechanisms to provide solution to this problem. We have defined new mapping mechanisms between protocol layers and have coupled these mechanisms with novel “event-based” flow control mechanisms. These mechanisms provided appropriate flow control handling in the kernel that led to significant reduction in memory buffers hogging. This makes embedded systems handle large windows efficiently.||||
46|14||Communication in a multi-layer MIMD system for computer vision|||||
46|15|http://www.sciencedirect.com/science/journal/13837621/46/15|An on-chip cache compression technique to reduce decompression overhead and design complexity|This research explores a compressed memory hierarchy model which can increase both the effective memory space and bandwidth of each level of memory hierarchy. It is well known that decompression time causes a critical effect to the memory access time and variable-sized compressed blocks tend to increase the design complexity of the compressed memory systems. This paper proposes a selective compressed memory system (SCMS) incorporating the compressed cache architecture and its management method. To reduce or hide decompression overhead, this SCMS employs several effective techniques, including selective compression, parallel decompression and the use of a decompression buffer. In addition, fixed memory space allocation method is used to achieve efficient management of the compressed blocks. Trace-driven simulation shows that the SCMS approach can not only reduce the on-chip cache miss ratio and data traffic by about 35% and 53%, respectively, but also achieve a 20% reduction in average memory access time (AMAT) over conventional memory systems (CMS). Moreover, this approach can provide both lower memory traffic at a lower cost than CMS with some architectural enhancement. Most importantly, the SCMS is a more attractive approach for future computer systems because it offers high performance in cases of long DRAM latency and limited bus bandwidth.||||
46|15||Efficient parity placement schemes for tolerating up to two disk failures in disk arrays|||||
46|15||KAIST image computing system (KICS): A parallel architecture for real-time multimedia data processing|An efficient parallel architecture is proposed for high-performance multimedia data processing using multiple multimedia video processors (MVP; TMS320C80), which are fully programmable general digital signal processors (DSP). This paper describes several requirements for a multimedia data processing system and the system architecture of an image computing system called the KAIST Image Computing System (KICS). The performance of the KICS is evaluated in terms of its I/O bandwidth and the execution time for some image processing functions. An application of the KICS to the real-time Moving Picture Expert Group 2 (MPEG-2) encoder is introduced. The programmability and the high-speed data-access capability of the KICS are its most important features as a high-performance system for real-time multimedia data processing.||||
46|15||Agents for information retrieval: Issues of mobility and coordination|This paper focuses on agent-based applications for information retrieval on the Web, by specifically analysing mobility and coordination issues. On the one hand, mobile agents well suit the requirements of information retrieval in the new dynamic scenario derived from the Internet. This is due to their capability of moving to the place where the information is stored – therefore saving bandwidth – and to their robustness in the presence of unreliable connections. On the other hand, the search for information by several mobile active agents calls for suitable models to rule the interactions among agents and between agents and execution environments. The paper surveys different coordination approaches and evaluates their impact in information retrieval applications based on mobile agents. The survey outlines the advantages of uncoupled coordination models and points out the suitability of a coordination model based on reactive and programmable tuple spaces: they may increase the safety and the security of the environment while simplifying the task of programming distributed mobile agent applications.||||
46|15||Embedded software verification in hardwareâsoftware codesign|Concurrent Embedded Real-Time Software (CERTS) is intrinsically different from traditional, sequential, independent, and temporally unconstrained software. The verification of software is more complex than hardware due to inherent flexibilities (dynamic behavior) that incur a multitude of possible system states. The verification of CERTS is all the more difficult due to its concurrency and embeddedness. The work presented here shows how the complexity of CERTS verification can be reduced significantly through answering common engineering questions such as when, where, and how one must verify embedded software. First, a new Schedule-Verify-Map strategy is proposed to answer the when question. Second, verification under system concurrency is proposed to answer the where question. Finally, a complete symbolic model checking procedure is proposed for CERTS verification. Several application examples illustrate the usefulness of our technique in increasing verification scalability.||||
46|15||A new cache architecture based on temporal and spatial locality|A data cache system is designed as low power/high performance cache structure for embedded processors. Direct-mapped cache is a favorite choice for short cycle time, but suffers from high miss rate. Hence the proposed dual data cache is an approach to improve the miss ratio of direct-mapped cache without affecting this access time. The proposed cache system can exploit temporal and spatial locality effectively by maximizing the effective cache memory space for any given cache size. The proposed cache system consists of two caches, i.e., a direct-mapped cache with small block size and a fully associative spatial buffer with large block size. Temporal locality is utilized by caching candidate small blocks selectively into the direct-mapped cache. Also spatial locality can be utilized aggressively by fetching multiple neighboring small blocks whenever a cache miss occurs. According to the results of comparison and analysis, similar performance can be achieved by using four times smaller cache size comparing with the conventional direct-mapped cache.And it is shown that power consumption of the proposed cache can be reduced by around 4% comparing with the victim cache configuration.||||
46|15||Early design stage exploration of fixed-length block structured architectures|An important challenge concerning the design of future microprocessors is that current design methodologies are becoming impractical due to long simulation runs and due to the fact that chip layout considerations are not incorporated in early design stages. In this paper, we show that statistical modeling can be used to speed up the architectural simulations and is thus viable for early design stage explorations of new microarchitectures. In addition, we argue that processor layouts should be considered in early design stages in order to tackle the growing importance of interconnects in future technologies. In order to show the applicability of our methodology which combines statistical modeling and processor layout considerations in an early design stage, we have applied our method on a novel architectural paradigm, namely a fixed-length block structured architecture. A fixed-length block structured architecture is an answer to the scalability problem of current architectures. Two important factors prevent contemporary out-of-order architectures from being scalable to higher levels of parallelism in future deep-submicron technologies: the increased complexity and the growing domination of interconnect delays. In this paper, we show by using statistical modeling and processor layout considerations, that a fixed-length block structured architecture is a viable architectural paradigm for future microprocessors in future technologies thanks to the introduction of decentralization and a reduced register file pressure.||||
46|15||Index|||||
46|15||Index|||||
46|2|http://www.sciencedirect.com/science/journal/13837621/46/2|GSPN models of bridged LAN configurations1|||||
46|2||Optimum reserved resource allocation scheme for handoff in CDMA cellular system|CDMA cellular systems support two types of handoff: soft handoff and hard handoff. Soft handoff has many advantages over hard handoff. Qualitatively, this feature provides more reliable handoff between base stations as a mobile moves from one cell to the adjacent one. Quantitatively, it considerably increases both the capacity of a heavily loaded multicellular system and the coverage of each individual cell in a lightly loaded system. In this paper, in order to increase the probability of soft handoff at the time of handoff, optimum reserved resource allocation scheme for handoff in CDMA cellular system is proposed, which allocates reserved resource to each frequency channel according to the number of neighbor cells using the same frequency channel. Performance analysis results show that the proposed scheme has higher probability of soft handoff at the time of handoff and higher total call processing performance which is a function of both new calls accepted probability and soft handoff probability than the conventional scheme allocating reserved resource irrelevantly to frequency channels being used by neighbor cells.||||
